kind,episode,loss,policy_loss,value_loss,entropy,steps,eps,hpwl_end,time_sec
full,1,6544677.875000,-0.015466,9349540.000000,3.089756,128,0.3000,15365.119938,9.900976
full,2,6450950.625000,-0.016975,9215643.750000,3.118251,128,0.2700,15270.660034,10.134286
full,3,6676102.875000,-0.007850,9537289.750000,3.068918,128,0.2400,15517.739955,10.354941
full,4,6504210.000000,-0.003413,9291728.750000,2.998357,128,0.2100,15311.579934,10.668950
full,5,6595530.250000,-0.000003,9422186.250000,2.933079,128,0.1800,15425.920056,9.937256
full,6,6603765.750000,-0.010127,9433951.250000,2.837186,128,0.1500,15463.980080,10.472825
full,7,6779606.250000,-0.004434,9685152.000000,2.731091,128,0.1200,15665.660082,10.002095
full,8,6271898.750000,-0.007671,8959855.500000,2.649217,128,0.0900,15131.740138,9.941756
full,9,6518899.750000,-0.017900,9312714.000000,2.498735,128,0.0600,15371.900016,9.852873
full,10,6610064.750000,-0.016073,9442949.750000,2.356921,128,0.0300,15471.400028,10.083151
full,1,9568225.375000,0.000111,13668893.750000,2.059825,256,0.3000,29853.919903,12.805331
full,2,9690929.125000,1.240741,13844182.875000,2.051892,256,0.2700,30263.480078,12.255373
full,3,9413243.375000,0.001933,13447490.875000,2.160369,256,0.2400,29847.659987,12.310079
full,4,9483672.000000,-0.007928,13548103.125000,2.377628,256,0.2100,29932.980089,12.689094
full,5,9297595.437500,6.602809,13282270.000000,2.402552,256,0.1800,29746.920131,14.072516
full,6,9730019.562500,0.012330,13900027.875000,2.255178,256,0.1500,30395.500150,13.532732
full,7,9419131.687500,898.171434,13454619.875000,2.204387,256,0.1200,29937.180136,13.091188
full,8,9433480.000000,4.685179,13476393.750000,2.070018,256,0.0900,30058.179991,13.043697
full,9,9256607.687500,1512.295102,13221565.250000,1.878383,256,0.0600,29805.659958,13.206350
full,10,9311199.500000,0.049973,13301713.750000,1.603158,256,0.0300,29779.959947,13.180522
full,1,8560749.000000,238.449068,12229301.250000,1.661591,512,0.3000,53615.520149,35.837293
full,2,8124282.796875,4895.302313,11599125.328125,1.034928,512,0.2700,52534.980142,34.163325
full,3,8125607.656250,4270.335342,11601910.625000,0.213114,512,0.2400,53512.699778,34.474810
full,4,8094974.031250,8204.903024,11552527.343750,0.043650,512,0.2100,53568.099839,35.934346
full,5,7901794.875000,6845.995483,11278498.562500,0.030398,512,0.1800,53081.179620,35.790519
full,6,8051680.406250,6648.409393,11492903.218750,0.048462,512,0.1500,52963.899869,33.984448
full,7,7825613.671875,4006.133717,11173725.312500,0.076895,512,0.1200,52974.040113,33.521295
full,8,7941089.281250,2296.381279,11341132.937500,0.000000,512,0.0900,52454.240377,34.702549
full,9,7929725.343750,1156.650827,11326526.906250,0.000000,512,0.0600,52452.880295,34.698388
full,10,8536522.468750,146.877870,12194822.437500,0.000000,512,0.0300,53439.540049,37.866084
